,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
40,LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
41,LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
43,LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
46,LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
47,LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
48,LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
49,LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
50,LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
51,LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
52,LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
53,LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
54,LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
55,LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
56,LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
57,LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
58,LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
59,LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
60,LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
61,LP001206,Male,Yes,3,Graduate,No,3029,0,99,360,1,Urban,Y
62,LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
64,LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
65,LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
66,LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
67,LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
68,LP001238,Male,Yes,3,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
69,LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
70,LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
71,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
72,LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
74,LP001253,Male,Yes,3,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
75,LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
76,LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
77,LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
78,LP001263,Male,Yes,3,Graduate,No,3167,4000,180,300,0,Semiurban,N
80,LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
82,LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
84,LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
85,LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
87,LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
88,LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
89,LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
90,LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
91,LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
92,LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
93,LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
94,LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
96,LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
97,LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
98,LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
99,LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
100,LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
101,LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
105,LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
106,LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
108,LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
109,LP001384,Male,Yes,3,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
110,LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
115,LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
116,LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
118,LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
119,LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
121,LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
122,LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
123,LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
124,LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
128,LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
131,LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
132,LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
133,LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
134,LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
135,LP001488,Male,Yes,3,Graduate,No,4000,7750,290,360,1,Semiurban,N
136,LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
137,LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
138,LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
139,LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
140,LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
141,LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
142,LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
143,LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
144,LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
145,LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
146,LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
147,LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
148,LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
149,LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
150,LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
151,LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
152,LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
153,LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
154,LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
155,LP001536,Male,Yes,3,Graduate,No,39999,0,600,180,0,Semiurban,Y
157,LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
159,LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
160,LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
161,LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
162,LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
163,LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
164,LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
166,LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
167,LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
168,LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
169,LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
172,LP001586,Male,Yes,3,Not Graduate,No,3522,0,81,180,1,Rural,N
173,LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
174,LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
175,LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
176,LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
177,LP001610,Male,Yes,3,Graduate,No,5516,11300,495,360,0,Semiurban,N
178,LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
179,LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
180,LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
182,LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
183,LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
184,LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
185,LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
186,LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
189,LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
190,LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
191,LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
192,LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
193,LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
194,LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
195,LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
196,LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
199,LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
200,LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
201,LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
203,LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
204,LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
205,LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
206,LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
207,LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
208,LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
209,LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
210,LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
211,LP001711,Male,Yes,3,Graduate,No,3430,1250,128,360,0,Semiurban,N
212,LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
213,LP001715,Male,Yes,3,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
214,LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
215,LP001720,Male,Yes,3,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
216,LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
217,LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
220,LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
221,LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
222,LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
224,LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
225,LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
227,LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
229,LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
230,LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
233,LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
234,LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
235,LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
238,LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
239,LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
240,LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
241,LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
242,LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
243,LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
244,LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
245,LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
246,LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
247,LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
248,LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
249,LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
250,LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
251,LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
252,LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
253,LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
254,LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
255,LP001846,Female,No,3,Graduate,No,3083,0,255,360,1,Rural,Y
256,LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
257,LP001854,Male,Yes,3,Graduate,No,5250,0,94,360,1,Urban,N
258,LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
261,LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
262,LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
263,LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
264,LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
265,LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
266,LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
267,LP001882,Male,Yes,3,Graduate,No,4333,1811,160,360,0,Urban,Y
269,LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
270,LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
271,LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,N
272,LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,N
273,LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,N
274,LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,N
275,LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,N
276,LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,N
277,LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,N
278,LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,N
280,LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
281,LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,N
282,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,N
283,LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,N
285,LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,N
286,LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
287,LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
288,LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
289,LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
290,LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
291,LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
292,LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
294,LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
296,LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y
297,LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
298,LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
299,LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
300,LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
302,LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
303,LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
304,LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
306,LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
307,LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
308,LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,Rural,N
310,LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y
311,LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
312,LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
315,LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
316,LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
319,LP002050,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
320,LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
321,LP002053,Male,Yes,3,Graduate,No,4342,189,124,360,1,Semiurban,Y
324,LP002065,Male,Yes,3,Graduate,No,15000,0,300,360,1,Rural,Y
325,LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
326,LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
327,LP002082,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
328,LP002086,Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
329,LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
330,LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
331,LP002098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
337,LP002112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
339,LP002114,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
340,LP002115,Male,Yes,3,Not Graduate,No,2647,1587,173,360,1,Rural,N
341,LP002116,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
342,LP002119,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
343,LP002126,Male,Yes,3,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
345,LP002129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
347,LP002131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
349,LP002138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
350,LP002139,Male,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,Y
351,LP002140,Male,No,0,Graduate,No,8750,4167,308,360,1,Rural,N
352,LP002141,Male,Yes,3,Graduate,No,2666,2083,95,360,1,Rural,Y
353,LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
354,LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
356,LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
357,LP002151,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
358,LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
359,LP002160,Male,Yes,3,Graduate,No,5167,3167,200,360,1,Semiurban,Y
360,LP002161,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
361,LP002170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Y
362,LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
364,LP002180,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
365,LP002181,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
366,LP002187,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
368,LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
369,LP002191,Male,Yes,0,Graduate,No,19730,5266,570,360,1,Rural,N
370,LP002194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
371,LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
372,LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
373,LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
375,LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
376,LP002219,Male,Yes,3,Graduate,No,8750,4996,130,360,1,Rural,Y
378,LP002224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
379,LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
381,LP002229,Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Y
382,LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
383,LP002234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
384,LP002236,Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,N
386,LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
388,LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
389,LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
390,LP002255,Male,No,3,Graduate,No,9167,0,185,360,1,Rural,Y
391,LP002262,Male,Yes,3,Graduate,No,9504,0,275,360,1,Rural,Y
393,LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
394,LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
396,LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
397,LP002281,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Y
398,LP002284,Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Y
399,LP002287,Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,N
400,LP002288,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
401,LP002296,Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
402,LP002297,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
403,LP002300,Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,Y
404,LP002301,Female,No,0,Graduate,Yes,7441,0,194,360,1,Rural,N
405,LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
406,LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
407,LP002314,Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,Y
408,LP002315,Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,N
409,LP002317,Male,Yes,3,Graduate,No,81000,0,360,360,0,Rural,N
410,LP002318,Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,N
412,LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
413,LP002332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
414,LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,N
415,LP002337,Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Y
416,LP002341,Female,No,1,Graduate,No,2600,0,160,360,1,Urban,N
417,LP002342,Male,Yes,2,Graduate,Yes,1600,20000,239,360,1,Urban,N
418,LP002345,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Y
419,LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
420,LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
